record.csv
借款id,投标人,年利率,有效金额,投标日期,投标时刻,期限
100025,awfer1,7,300,2007-7-19,14:26:23,6
100025,sophie,9,300,2007-7-19,15:28:06,6
100025,ljw0591,8.95,50,2007-7-20,15:39:47,6
100025,ljw0591,8.95,50,2007-7-20,15:47:06,6
100026,huihuih,24,50,2007-7-20,14:22:53,2
100033,yee,9.45,500,2007-8-9,10:50:28,36
100033,jackgu,9.45,500,2007-8-9,12:24:51,36
100033,jackgu,9.4,500,2007-8-9,14:15:17,36
100033,greatkai,9.45,500,2007-8-9,15:28:01,36
100033,greatkai,9.45,500,2007-8-9,16:08:28,36
100033,gary,9.45,500,2007-8-9,11:44:37,36
100033,yee,9.45,500,2007-8-9,12:34:36,36
100033,jackgu,9.45,500,2007-8-9,13:47:25,36
100036,ljw0591,4,400,2007-8-9,15:55:13,18
100036,fendy,4,400,2007-8-9,16:15:05,18
100036,awfer1,4,400,2007-8-9,16:20:42,18
100036,jackgu,4,400,2007-8-9,17:08:25,18
100036,gary,4,400,2007-8-9,17:34:01,18
100037,yee,8,100,2007-8-14,19:02:22,6
100037,mei,8,200,2007-8-15,20:00:58,6
100037,awfer1,6,100,2007-8-15,20:23:15,6
100037,greatkai,8,500,2007-8-15,21:04:16,6
100037,jackgu,8,50,2007-8-16,10:35:14,6
100037,huihuih,8,200,2007-8-16,11:46:05,6
100037,mei,8,800,2007-8-20,12:22:33,6
100037,huihuih,8,50,2007-8-21,9:17:33,6
100037,awfer1,8,50,2007-8-23,18:13:11,6
100037,thecure,8,100,2007-8-27,16:46:05,6
100037,thecure,8,100,2007-8-27,16:47:22,6
100037,jackgu,8,100,2007-8-27,20:42:33,6
100037,tony,8,100,2007-8-27,13:37:45,6
100037,huihuih,8,200,2007-8-30,15:37:23,6
100037,greatkai,8,200,2007-8-30,20:47:48,6
100102,awfer1,9,246,2007-9-18,17:05:23,12
100102,agerlet,12,200,2007-9-20,10:33:01,12
100102,jackgu,12,200,2007-9-20,11:43:55,12
100102,fendy,12,500,2007-9-20,17:43:49,12
100102,yee,12,500,2007-9-21,14:20:23,12
100102,mei,12,200,2007-9-22,16:44:48,12
100102,greatkai,12,640,2007-9-23,19:26:52,12
100102,agerlet,12,800,2007-9-24,22:52:24,12
100102,ljw0591,12,200,2007-9-27,10:46:35,12
100102,jackgu,12,214,2007-10-6,13:17:07,12
100173,yee,5,500,2007-12-10,19:16:16,1
100226,luyoukuang,10,200,2008-2-13,11:05:14,36
100226,gary,10,200,2008-2-13,11:43:10,36
100256,fendy,12,200,2008-2-19,10:03:41,5
100256,jackgu,12,500,2008-2-19,15:28:09,5
100256,huihuih,12,300,2008-2-20,17:49:47,5
100256,thinfox,12,100,2008-2-21,15:42:21,5
100256,jackgu,12,900,2008-2-21,18:17:02,5
100256,awfer1,10,500,2008-2-21,18:47:41,5
100256,ljw0591,12,200,2008-2-21,19:38:16,5
100256,fendy,12,50,2008-2-22,10:14:06,5
100256,ljw0591,12,250,2008-2-22,10:15:42,5
100314,mei,25,50,2008-3-6,20:43:01,3
100314,gary,25,600,2008-3-7,9:28:50,3
100314,greatkai,25,600,2008-3-7,11:02:05,3
100314,brianzhu,25,600,2008-3-7,18:18:53,3
100314,beckychen,25,100,2008-3-8,21:59:37,3
100314,leaveinthewind,25,200,2008-3-10,0:08:59,3
100314,jackgu,25,200,2008-3-10,12:52:58,3
100314,jackgu,25,50,2008-3-10,16:47:29,3
100411,jackgu,12,800,2008-3-17,13:26:13,12
100411,gary,12,600,2008-3-17,18:16:52,12
100411,huihuih,12,200,2008-3-18,10:40:44,12
100411,greatkai,12,200,2008-3-18,16:42:37,12
100411,jackgu,12,400,2008-3-19,12:06:08,12
100411,hejing8610,12,350,2008-3-19,20:12:25,12
100411,thinfox,12,350,2008-3-19,13:03:22,12
100411,gary,11.99,50,2008-3-21,17:25:47,12
100417,jackgu,25,500,2008-3-18,12:28:41,6
100417,YQCHENG,25,500,2008-3-18,16:03:23,6
100417,huihuih,25,100,2008-3-19,15:59:27,6
100417,gary,25,200,2008-3-20,17:40:04,6
100417,paby,25,200,2008-3-21,15:07:08,6
100417,jackgu,25,200,2008-3-21,10:48:54,6
100417,internonet,25,200,2008-3-24,12:23:50,6
100417,gary,25,200,2008-3-25,15:02:18,6
100417,brianzhu,25,200,2008-3-25,17:43:05,6
100417,tony,25,200,2008-3-25,12:57:21,6
100417,gary,25,200,2008-3-25,14:53:01,6
100491,jackgu,15,800,2008-3-20,21:30:12,3
100491,agerlet,15,200,2008-3-21,9:14:17,3
100491,gary,15,200,2008-3-21,16:22:56,3
100491,flierclh,15,100,2008-3-25,18:55:09,3
